m_hidden,sparsity,seed,checkpoint_step,n_eigenspaces,n_eigenvectors,degeneracy_ratio,n_clusters,mean_participation_ratio,mean_max_space_projection
128,0.7273469387755102,0,25000,128,128,1.0,1,22.377475825259577,0.23214715932583305
128,0.7273469387755102,1,25000,125,128,0.9765625,1,22.955061455817372,0.23053628506808743
128,0.7475510204081632,0,25000,126,128,0.984375,42,42.26518557203424,0.07208217622830224
128,0.7475510204081632,1,25000,126,128,0.984375,36,38.04702329093668,0.08679443776469259
128,0.7677551020408163,0,25000,126,128,0.984375,32,40.78903095365071,0.07578304803403069
128,0.7677551020408163,1,25000,126,128,0.984375,41,40.303429532474894,0.07417520228422336
128,0.7879591836734694,0,25000,127,128,0.9921875,38,42.53265238269238,0.06725324587121775
128,0.7879591836734694,1,25000,125,128,0.9765625,37,41.73782048771619,0.06871237501289189
128,0.8081632653061224,0,25000,128,128,1.0,32,42.33036669588924,0.06994984807060284
128,0.8081632653061224,1,25000,128,128,1.0,33,42.41664963667266,0.07084151138015002
128,0.8283673469387755,0,25000,128,128,1.0,31,43.2332178043049,0.0684463924492471
128,0.8283673469387755,1,25000,124,128,0.96875,33,42.31747272327818,0.06863465840290162
128,0.8485714285714285,0,25000,127,128,0.9921875,37,42.790062068203156,0.06758350641621233
128,0.8485714285714285,1,25000,126,128,0.984375,38,42.030436052266325,0.06913511586639604
128,0.8687755102040816,0,25000,124,128,0.96875,33,41.74010883090352,0.069167635733766
128,0.8687755102040816,1,25000,126,128,0.984375,39,42.024841484572924,0.06778912028246006
128,0.8889795918367347,0,25000,125,128,0.9765625,35,42.11758818078053,0.06730439355475104
128,0.8889795918367347,1,25000,127,128,0.9921875,38,42.9700386808564,0.0660160429726549
128,0.9091836734693878,0,25000,127,128,0.9921875,35,43.29037080338668,0.06569616914682688
128,0.9091836734693878,1,25000,128,128,1.0,41,43.5405577032924,0.06520457947598007
128,0.9293877551020407,0,25000,125,128,0.9765625,31,43.27747959241833,0.06423565238116409
128,0.9293877551020407,1,25000,127,128,0.9921875,31,43.71298960914983,0.06423655896530003
128,0.9495918367346938,0,25000,127,128,0.9921875,40,43.720540774822716,0.06434813091688434
128,0.9495918367346938,1,25000,127,128,0.9921875,43,43.63436234890671,0.06371521250696686
128,0.9697959183673469,0,25000,128,128,1.0,40,43.85774584787772,0.06434632218069673
128,0.9697959183673469,1,25000,126,128,0.984375,33,43.405242366752454,0.0644555197264852
128,0.99,0,25000,127,128,0.9921875,34,43.36284533426712,0.06533472689680186
128,0.99,1,25000,128,128,1.0,35,43.98755536784621,0.06409275953926302
144,0.0,0,25000,37,144,0.2569444444444444,14,13.746423495534629,0.22974592289364532
144,0.0,1,25000,37,144,0.2569444444444444,14,14.110314005008766,0.2095777741221444
144,0.02020408163265306,0,25000,38,144,0.2638888888888889,18,15.241839487308281,0.21765198564302823
144,0.02020408163265306,1,25000,35,144,0.24305555555555555,15,14.331870947751549,0.21984221868652026
144,0.04040816326530612,0,25000,37,144,0.2569444444444444,18,16.2467095160086,0.2115627310335909
144,0.04040816326530612,1,25000,39,144,0.2708333333333333,18,16.02691734011399,0.2187122964940108
144,0.06061224489795918,0,25000,41,144,0.2847222222222222,19,18.117352423368754,0.19954833356789603
144,0.06061224489795918,1,25000,40,144,0.2777777777777778,19,17.04788447679303,0.21288998101106368
144,0.08081632653061224,0,25000,41,144,0.2847222222222222,22,18.960243535169916,0.19364947881301536
144,0.08081632653061224,1,25000,42,144,0.2916666666666667,21,18.704637275686444,0.20760679936270887
144,0.1010204081632653,0,25000,47,144,0.3263888888888889,25,21.39911469360986,0.18179196730586855
144,0.1010204081632653,1,25000,48,144,0.3333333333333333,24,19.858785933310802,0.2075403847727459
144,0.12122448979591836,0,25000,57,144,0.3958333333333333,25,22.533883797430374,0.18293950507266166
144,0.12122448979591836,1,25000,64,144,0.4444444444444444,26,21.605183763456154,0.20321424786140913
144,0.14142857142857143,0,25000,73,144,0.5069444444444444,25,22.64457316240096,0.18065496461207683
144,0.14142857142857143,1,25000,78,144,0.5416666666666666,24,22.473518996190133,0.20002190221755756
144,0.16163265306122448,0,25000,88,144,0.6111111111111112,22,23.786089819558384,0.1723407929971397
144,0.16163265306122448,1,25000,93,144,0.6458333333333334,24,23.523052104288148,0.19187118464049102
144,0.18183673469387754,0,25000,103,144,0.7152777777777778,22,25.2777544398741,0.16544286085119947
144,0.18183673469387754,1,25000,106,144,0.7361111111111112,19,24.541248122859464,0.18340965647177132
144,0.2020408163265306,0,25000,111,144,0.7708333333333334,21,27.535341204650145,0.1562235721076791
144,0.2020408163265306,1,25000,118,144,0.8194444444444444,20,27.405073617782023,0.1736303020336362
144,0.22224489795918367,0,25000,123,144,0.8541666666666666,22,29.85572254328362,0.14896572006238784
144,0.22224489795918367,1,25000,124,144,0.8611111111111112,18,29.71765507930607,0.16271957034824494
144,0.24244897959183673,0,25000,130,144,0.9027777777777778,17,32.963708775518754,0.14130925799195065
