file,m,seed,n,exp_type,mean_sparsity,min_sparsity,max_sparsity,rank,rank_ratio,sumD,rho_m,rho_r,slack_run,mean_resid,mean_sigma,mean_kappa,mean_leverage,tail_mass_001,tail_mass_005,tail_mass_010
n1024_m256_nonuniform_seed151.h5,256,151,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64197204353695,0.9986014532950662,0.9986014532950662,0.0013985467049337785,0.045402231488076074,0.0013985467049342523,1.4897516968026128,0.2500000000000001,0.016072434895408702,0.0043697213231814035,0.0
n1024_m256_nonuniform_seed152.h5,256,152,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64526004205982,0.9986142970392962,0.9986142970392962,0.0013857029607038385,0.04547628595370661,0.0013857029607043877,1.4864317861902576,0.2500000000000001,0.014837709080936012,0.0040498310926475765,0.0
n1024_m256_nonuniform_seed153.h5,256,153,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64148176839808,0.998599538157805,0.998599538157805,0.001400461842195,0.045346648211814916,0.0014004618421957441,1.4835897155041702,0.25000000000000017,0.01574949254590243,0.0038595894550131093,0.0
n1024_m256_nonuniform_seed154.h5,256,154,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64841097145109,0.9986266053572308,0.9986266053572308,0.001373394642769199,0.04516924532845385,0.0013733946427696446,1.4894326114720695,0.2500000000000001,0.014678722499211653,0.004048872297995036,0.0
n1024_m256_nonuniform_seed155.h5,256,155,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64607370537124,0.9986174754116064,0.9986174754116064,0.0013825245883936077,0.044758116032230136,0.0013825245883940182,1.4755714197048306,0.2500000000000001,0.016123775329924303,0.00342589787789852,0.0
n1024_m256_nonuniform_seed156.h5,256,156,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64349580806447,0.9986074055002518,0.9986074055002518,0.0013925944997481565,0.044981057042188244,0.0013925944997485132,1.4734967548222937,0.2500000000000001,0.01670987601366844,0.003686962587147249,0.0
n1024_m256_nonuniform_seed157.h5,256,157,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64583890397626,0.9986165582186572,0.9986165582186572,0.0013834417813427535,0.04504373564565279,0.001383441781343301,1.481951510253679,0.2500000000000001,0.015069357130464648,0.0037932842882630134,0.0
n1024_m256_nonuniform_seed158.h5,256,158,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.63851088150113,0.9985879331308638,0.9985879331308638,0.001412066869136197,0.04530392322658971,0.0014120668691366184,1.4774020122574847,0.2500000000000001,0.015770074086346595,0.0036871343211345286,0.0
n1024_m256_nonuniform_seed159.h5,256,159,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.63515880603518,0.9985748390860749,0.9985748390860749,0.0014251609139250832,0.04604854788958101,0.0014251609139255452,1.4818709655616449,0.2500000000000001,0.015602301869309831,0.0036523410610788177,0.0
n1024_m256_nonuniform_seed16.h5,256,16,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64550400321605,0.9986152500125627,0.9986152500125627,0.001384749987437317,0.045302258765306004,0.0013847499874376275,1.4769618199973467,0.2500000000000001,0.015138775633509821,0.003576177225650797,0.0
n1024_m256_nonuniform_seed160.h5,256,160,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.6476020844857,0.9986234456425223,0.9986234456425223,0.001376554357477744,0.045046776297133176,0.0013765543574783517,1.4877377716874034,0.25000000000000017,0.01501371848138428,0.004084249743503151,0.0
n1024_m256_nonuniform_seed161.h5,256,161,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64294331675046,0.9986052473310565,0.9986052473310565,0.0013947526689435108,0.04536393089492646,0.0013947526689438718,1.4830405534465185,0.2500000000000001,0.015051144615936167,0.0037405034281383304,0.0
n1024_m256_nonuniform_seed162.h5,256,162,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.63706514728256,0.9985822857315725,0.9985822857315725,0.0014177142684275168,0.045477592557142066,0.0014177142684280051,1.4803947680553353,0.2500000000000001,0.016401500008218668,0.003940481005843641,0.0
n1024_m256_nonuniform_seed163.h5,256,163,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.63197388339904,0.9985623979820275,0.9985623979820275,0.0014376020179724947,0.04608743367851721,0.0014376020179729808,1.4833252672209882,0.2500000000000001,0.015824359405333954,0.004081764358673766,0.0
n1024_m256_nonuniform_seed164.h5,256,164,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.6448803911626,0.9986128140279789,0.9986128140279789,0.0013871859720211432,0.04514835757110234,0.0013871859720214273,1.478549427964045,0.25000000000000006,0.015156335087606214,0.0037790323029593797,0.0
n1024_m256_nonuniform_seed165.h5,256,165,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.6468082278443,0.9986203446400168,0.9986203446400168,0.0013796553599831896,0.045154025715728095,0.0013796553599836098,1.4730128099410837,0.2500000000000001,0.015219903817171768,0.0033222672710200426,0.0
n1024_m256_nonuniform_seed166.h5,256,166,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64783137881022,0.9986243413234774,0.9986243413234774,0.001375658676522562,0.045354722565218934,0.0013756586765229176,1.4958225132083667,0.2500000000000001,0.01438001982673061,0.0039154306784892155,0.0
n1024_m256_nonuniform_seed167.h5,256,167,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.6472274189,0.9986219821050781,0.9986219821050781,0.001378017894921868,0.04512719464934891,0.001378017894922046,1.4907805612622218,0.25000000000000006,0.0143958551442484,0.004167835514902416,0.0
n1024_m256_nonuniform_seed168.h5,256,168,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64400170079898,0.998609381643746,0.998609381643746,0.001390618356253981,0.044850752405601484,0.0013906183562545531,1.4812337392569779,0.25000000000000017,0.015593966328439188,0.0043710868086797375,0.0
n1024_m256_nonuniform_seed169.h5,256,169,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.63634221923712,0.998579461793895,0.998579461793895,0.0014205382061049932,0.04526906187082925,0.0014205382061053767,1.4782603244057808,0.2500000000000001,0.01621088053258296,0.004176874448563388,0.0
n1024_m256_nonuniform_seed17.h5,256,17,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.63406189485977,0.998570554276796,0.998570554276796,0.0014294457232040259,0.04550317060623529,0.0014294457232045914,1.4796858676293005,0.2500000000000001,0.01598668732617693,0.004307560497773843,0.0
n1024_m256_nonuniform_seed170.h5,256,170,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.63759026154003,0.9985843369591407,0.9985843369591407,0.0014156630408592719,0.04559632935551706,0.0014156630408598038,1.4803481243522945,0.2500000000000001,0.015707916458159624,0.0034632162053735045,0.0
n1024_m256_nonuniform_seed171.h5,256,171,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.63983411881782,0.9985931020266321,0.9985931020266321,0.0014068979733679043,0.04551345553072739,0.0014068979733684224,1.4804802134013209,0.2500000000000001,0.015310198208825877,0.003577477216121848,0.0
n1024_m256_nonuniform_seed172.h5,256,172,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.62816421178286,0.9985475164522768,0.9985475164522768,0.0014524835477232045,0.04612519603799887,0.0014524835477235732,1.4879270443785055,0.2500000000000001,0.015357031147678814,0.0038640481020795676,0.0
n1024_m256_nonuniform_seed173.h5,256,173,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64535495483142,0.9986146677923102,0.9986146677923102,0.0013853322076897712,0.044954463464564096,0.001385332207690186,1.4913111437753896,0.2500000000000001,0.01583783923353435,0.004751394648255892,0.0
n1024_m256_nonuniform_seed174.h5,256,174,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.6463192303636,0.9986184344936078,0.9986184344936078,0.001381565506392235,0.04553195269662887,0.0013815655063926524,1.4941355366699112,0.2500000000000001,0.014189753078621952,0.004365610372006181,0.0
n1024_m256_nonuniform_seed175.h5,256,175,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.63587876787642,0.9985776514370173,0.9985776514370173,0.0014223485629827337,0.04555246985698646,0.0014223485629831667,1.477747851555214,0.2500000000000001,0.01530585728154089,0.0037516394620986234,0.0
