file,m,s,seed,n,rank,rank_ratio,sumD,rho_m,rho_r,slack_run,mean_resid,mean_sigma,mean_kappa,mean_leverage,tail_mass_001,tail_mass_005,tail_mass_010
n1024_m112_s0.222245_seed1.h5,112,0.22224489795918367,1,1024,112,1.0,111.95755442836526,0.9996210216818326,0.9996210216818326,0.0003789783181673556,0.018959537736892476,0.0003789783181685723,1.02189523356533,0.10937500000000014,0.0,0.0,0.0
n1024_m112_s0.242449_seed0.h5,112,0.24244897959183673,0,1024,112,1.0,111.9413922006861,0.9994767160775544,0.9994767160775544,0.0005232839224456054,0.02215443363962252,0.0005232839224463438,1.0312323735933135,0.10937500000000008,0.0,0.0,0.0
n1024_m112_s0.242449_seed1.h5,112,0.24244897959183673,1,1024,112,1.0,111.93828064692207,0.9994489343475185,0.9994489343475185,0.0005510656524815305,0.022693391654360896,0.0005510656524821352,1.0324996717643027,0.10937500000000006,0.0,0.0,0.0
n1024_m112_s0.262653_seed0.h5,112,0.2626530612244898,0,1024,112,1.0,111.92592672286264,0.9993386314541307,0.9993386314541307,0.0006613685458692897,0.02468539703249453,0.0006613685458699352,1.0421355101219407,0.10937500000000007,0.0,0.0,0.0
n1024_m112_s0.262653_seed1.h5,112,0.2626530612244898,1,1024,112,1.0,111.91741877425375,0.9992626676272656,0.9992626676272656,0.0007373323727344339,0.025718422158237046,0.0007373323727346312,1.0421398095798502,0.10937500000000003,0.0,0.0,0.0
n1024_m112_s0.282857_seed0.h5,112,0.28285714285714286,0,1024,112,1.0,111.91307571851212,0.9992238903438582,0.9992238903438582,0.0007761096561418324,0.026683695359497564,0.0007761096561423979,1.0514870273633814,0.10937500000000007,0.0,0.0,0.0
n1024_m112_s0.282857_seed1.h5,112,0.28285714285714286,1,1024,112,1.0,111.91313642008754,0.9992244323222101,0.9992244323222101,0.0007755676777898568,0.026628926963677878,0.0007755676777899697,1.0550432379571923,0.10937500000000001,0.0,0.0,0.0
n1024_m112_s0.303061_seed0.h5,112,0.3030612244897959,0,1024,112,1.0,111.90320444077952,0.9991357539355314,0.9991357539355314,0.0008642460644685546,0.028257883353022772,0.0008642460644682064,1.0629305872043477,0.10937499999999996,0.0,0.0,0.0
n1024_m112_s0.303061_seed1.h5,112,0.3030612244897959,1,1024,112,1.0,111.90584821029188,0.9991593590204632,0.9991593590204632,0.0008406409795368441,0.0279993817167524,0.0008406409795367924,1.0635629169456011,0.109375,0.0,0.0,0.0
n1024_m112_s0.323265_seed0.h5,112,0.32326530612244897,0,1024,112,1.0,111.90204380819341,0.999125391144584,0.999125391144584,0.0008746088554160147,0.028658947417471003,0.0008746088554158336,1.0779316076076866,0.10937499999999999,5.0323001499512326e-05,0.0,0.0
