m_hidden,sparsity,seed,checkpoint_step,n_clusters,mean_participation_ratio,mean_max_projection
128,0.9293877551020407,0,25000,33,43.933945368716785,0.0637168966639917
128,0.9293877551020407,1,25000,37,43.91879032249994,0.06407589517209986
128,0.9495918367346938,0,25000,43,43.94171432006419,0.06416771841995415
128,0.9495918367346938,1,25000,44,43.8539658793463,0.06351944569107369
128,0.9697959183673469,0,25000,40,43.85774584787772,0.06434632218069673
128,0.9697959183673469,1,25000,38,43.87077313533581,0.06392025864739567
128,0.99,0,25000,35,43.580954816056035,0.06516603550124958
128,0.99,1,25000,35,43.98755536784621,0.06409275953926302
144,0.0,0,25000,13,43.0507305516241,0.17509070183005987
144,0.0,1,25000,13,42.9291045347185,0.15603430274242436
144,0.02020408163265306,0,25000,15,43.34608147125949,0.17038941494700272
144,0.02020408163265306,1,25000,11,42.67961206903833,0.16940735785496916
144,0.04040816326530612,0,25000,19,43.96708831741278,0.1668638098584654
144,0.04040816326530612,1,25000,15,42.960356166195155,0.1743313500826284
144,0.06061224489795918,0,25000,11,43.93514440388064,0.16142388195751292
144,0.06061224489795918,1,25000,10,43.13683232407206,0.17296349083003998
144,0.08081632653061224,0,25000,11,44.14355694913031,0.15945481404529396
144,0.08081632653061224,1,25000,11,43.262684349545,0.17340084186189958
144,0.1010204081632653,0,25000,14,44.37115427311066,0.15250793580181388
144,0.1010204081632653,1,25000,13,42.41030632079191,0.17589386881811664
144,0.12122448979591836,0,25000,23,42.875544910224484,0.1566557049941107
144,0.12122448979591836,1,25000,22,40.52288998695953,0.17790192963784784
144,0.14142857142857143,0,25000,30,40.05693947743584,0.1573676884178613
144,0.14142857142857143,1,25000,26,38.43623108749094,0.17622940639360002
144,0.16163265306122448,0,25000,45,38.74053348830634,0.14916043116790223
144,0.16163265306122448,1,25000,45,36.64410856915707,0.17153972766935793
144,0.18183673469387754,0,25000,58,36.92141381642421,0.1455032560088786
144,0.18183673469387754,1,25000,55,35.38120296110867,0.16408165672248162
144,0.2020408163265306,0,25000,53,36.36157481159296,0.14093999597073734
144,0.2020408163265306,1,25000,48,35.23970612186153,0.15964169541939044
144,0.22224489795918367,0,25000,40,36.324194767292354,0.13653908889898395
144,0.22224489795918367,1,25000,33,35.82284243260338,0.15015555173908757
144,0.24244897959183673,0,25000,25,37.43994574523652,0.13121045103621964
144,0.24244897959183673,1,25000,24,36.59277742619771,0.1457219497454553
144,0.2626530612244898,0,25000,27,39.12062308247077,0.12352351973405998
144,0.2626530612244898,1,25000,30,39.30206730431694,0.13000765415968724
144,0.28285714285714286,0,25000,33,40.825719679797935,0.11643624311123915
144,0.28285714285714286,1,25000,32,40.793990913176664,0.12177152252543771
144,0.3030612244897959,0,25000,34,41.88722055293448,0.10868021732162766
144,0.3030612244897959,1,25000,36,41.46560839597804,0.11417904847805295
144,0.32326530612244897,0,25000,38,41.9140614518913,0.10508966217431212
144,0.32326530612244897,1,25000,36,41.516329692955786,0.10984698350139338
