cluster_k,n_features,slope,intercept,r_squared,p_value,std_err,eigenvalue,inv_eigenvalue,predicted_slope,slope_ratio,mean_participation_ratio,std_participation_ratio,mean_max_projection,std_max_projection,mean_ipr,mean_norm_sq,mean_D,m_hidden,sparsity,seed,checkpoint_step,slope_times_lambda,log_slope,log_inv_eigenvalue,localization_score
111,113,1.1049792352104988,-7.716561188736654e-07,0.9997822495581312,4.315925032825099e-205,0.0015478163822864838,0.9024765491485596,1.1080620288848877,1.1080620288848877,0.9972178509920683,1.1179731518866156,0.034644619062090806,0.9459751935613494,0.014537891134900574,0.8953196852906795,0.0001302265929695016,0.00014312603161670268,112,0.2020408163265306,0,25000,0.9972178470735855,0.043354116828160046,0.04456407271046093,0.9454755062329676
111,123,1.1015474257114446,-1.0717361608434967e-06,0.9997166608158343,1.6759547266815223e-216,0.0016858749953082989,0.9071422219276428,1.1023629903793335,1.1023629903793335,0.9992601668642666,1.129285373196945,0.03777912636290783,0.9412672219235949,0.01562673150896733,0.8864903222385798,0.0001240217988318472,0.00013554416364058852,112,0.2020408163265306,1,25000,0.9992601793185549,0.04200319988115009,0.04232462424439208,0.9405930726308528
48,23,0.9906381977940517,-0.00036492918722300094,0.9998307435130739,4.319382221195015e-41,0.0028126444789456032,1.0064371824264526,0.9936040043830872,0.9936040043830872,0.9970151020165454,33.90417595336525,5.287757636642337,0.08319055570270872,0.024901323788696333,0.03037121711200764,0.10027932515035963,0.09897560626268387,112,0.22224489795918367,0,25000,0.9970151165918643,-0.004084930168073214,-0.0027866668877307506,0.05071890373170692
103,23,0.9882004475106588,-0.00011712508533195942,0.9998008579355498,2.3818435387969417e-40,0.003043407796388983,1.0033303499221802,0.9966806769371033,0.9966806769371033,0.9914915282069027,33.416793372680395,6.770863766410729,0.08451836785610986,0.019264350539256854,0.03144762097021634,0.0973145622055694,0.09604916721582413,112,0.22224489795918367,0,25000,0.9914915007941244,-0.005154953774505567,-0.0014439615052243178,0.05209592024197508
111,109,1.1065462708258926,-1.3939022776939707e-06,0.9996691390433374,4.867874809602547e-188,0.001946132064098399,0.8993217349052429,1.11194908618927,1.11194908618927,0.9951411306232615,1.1973333421658072,0.04537866758253391,0.9141486966467188,0.017289383831869967,0.8363769414031319,0.00013555195712451978,0.00014860059309285134,112,0.22224489795918367,0,25000,0.9951411120320686,0.04396957889970457,0.046084902270079574,0.9124696238849356
111,114,1.1096256617648066,-1.2448574097660876e-06,0.999509088229194,3.73817267471399e-187,0.0023236773761371363,0.8975244760513306,1.114175796508789,1.114175796508789,0.995916142893931,1.1671278713208246,0.04433586189143671,0.9259327756350181,0.01746549166131551,0.8580202876698869,0.00013510698219636338,0.0001486733090132475,112,0.22224489795918367,1,25000,0.995916190688569,0.04517649189542013,0.04695371994926672,0.9246903821327251
59,20,0.9942776730567437,-0.0010176271673803666,0.9997704011195468,3.2888782969636955e-34,0.0035514538883760164,1.0062501430511475,0.9937886595726013,0.9937886595726013,1.0004920698977917,32.19093817696414,5.002652711849139,0.08552654188542926,0.019150595551014622,0.031779048511754726,0.09228469680692118,0.09073898941278458,112,0.24244897959183673,0,25000,1.0004920507459105,-0.0024923127497349547,-0.0027059634298323494,0.05314145388921605
63,20,0.9872555276688302,-0.00037316771146329863,0.9998777829590385,1.1284564442717024e-36,0.002572679847229671,1.0059444904327393,0.9940906167030334,0.9940906167030334,0.993124279699096,33.00577152318634,5.487905459932038,0.08878600843238256,0.026400085905778744,0.031231479653459508,0.08415753096821199,0.08271181583404541,112,0.24244897959183673,0,25000,0.9931242587077265,-0.005570425958751591,-0.0025740255218399625,0.056521705559849394
65,21,0.9852473550757439,-0.00025734096221359526,0.9998958044235609,2.6695627701083922e-39,0.0023073620479341955,1.005893349647522,0.994141161441803,0.994141161441803,0.9910537791703943,32.06225606470324,4.414602769666402,0.08976797499957118,0.024348361523600395,0.03189152609328365,0.0892435379722455,0.08766961842775345,112,0.24244897959183673,0,25000,0.9910537622285015,-0.006454722336555018,-0.0025519442922943207,0.05754006058249813
72,23,0.9904954888701178,-0.0006951755159445294,0.9997782575674613,7.36408236200459e-40,0.003218958772401196,1.005410075187683,0.9946190118789673,0.9946190118789673,0.9958541683201294,32.57464085980496,4.4877975526265255,0.08555542634801261,0.01926783129008332,0.03131223266905912,0.09568497478713034,0.094080351293087,112,0.24244897959183673,0,25000,0.9958541439379661,-0.0041474980792719635,-0.002343243600463108,0.053171408715104354
78,20,0.9864070619264114,-0.00022776817259438642,0.9996378532395952,1.9875005639236855e-32,0.0044252812330761795,1.0050017833709717,0.9950231313705444,0.9950231313705444,0.9913408350293673,33.22315074682966,4.422039505401011,0.08118147915980171,0.018114674400412964,0.030611111349668634,0.09009757781591582,0.08864511549472809,112,0.24244897959183673,0,25000,0.991340856365764,-0.005943827182100219,-0.002166823063503294,0.04863537741144462
79,21,0.9911477207995026,-0.0007916154692243632,0.999828083234644,3.107480877032345e-37,0.0029816594306614533,1.0049580335617065,0.9950664043426514,0.9950664043426514,0.9960618874016378,35.39136704541344,5.176224999314288,0.07913735030932667,0.020842967469653313,0.028935663484861946,0.08998503072084382,0.0883968397974968,112,0.24244897959183673,0,25000,0.9960618644638355,-0.0038616133784344165,-0.0021479362620129066,0.046515499860234066
93,20,0.9869703965125302,-0.0003999698465499829,0.9996746072964487,7.585931679363042e-33,0.004197033626027419,1.0041958093643188,0.9958217144012451,0.9958217144012451,0.9911115436019218,34.40550915856009,4.866101318112624,0.07940307979547374,0.02019621050540256,0.029686660220598994,0.0832678370324008,0.08178291469812393,112,0.24244897959183673,0,25000,0.991111536144523,-0.005695873494562004,-0.001818407944250791,0.04679107640828141
111,102,1.1134564882412876,-2.46832501380373e-06,0.9993147652613658,4.931384469215163e-160,0.0029156929319209715,0.8955956697463989,1.1165752410888672,1.1165752410888672,0.9972068583174581,1.2532625222177525,0.06885234243979128,0.8939382840182145,0.024515926571556077,0.8003010741926033,0.00014031630287013176,0.00015376775991171598,112,0.24244897959183673,0,25000,0.9972068093199293,0.046673250300519824,0.04788799358632841,0.8915102797506791
70,21,0.9869857424479022,-0.00039684596132397165,0.9997826427079576,2.8843584938242023e-36,0.0033386307545325506,1.0055698156356812,0.9944610595703125,0.9944610595703125,0.9924830469222794,33.13231892807236,5.063706291089588,0.08292024053439259,0.027320260447814854,0.030930435995964737,0.09032328136869174,0.0887509435415268,112,0.24244897959183673,1,25000,0.9924830710683828,-0.00568912090779445,-0.002412218014496487,0.050438571571172174
