cluster_k,n_features,slope,intercept,r_squared,p_value,std_err,eigenvalue,inv_eigenvalue,predicted_slope,slope_ratio,mean_participation_ratio,std_participation_ratio,mean_max_projection,std_max_projection,mean_ipr,mean_norm_sq,mean_D,m_hidden,sparsity,seed,checkpoint_step
42,10,0.9960927883873554,0.0003779213306852325,0.9999001550851966,2.7175605114792485e-17,0.0035191636238206853,1.002506136894226,0.9975001215934753,0.9975001215934753,0.9985891398149689,39.79307926682236,5.619604634446342,0.06540406898796688,0.019016276179261986,0.02568890762016779,0.13953282125511218,0.139365553855896,112,0.02020408163265306,0,25000
47,10,0.9982844748175987,0.0001135513206257932,0.999942610308721,2.966221637709827e-18,0.002673860405189015,1.0024337768554688,0.997572124004364,0.997572124004364,1.0007140845219042,38.29674025404624,7.495103788635929,0.08096276324263407,0.027843100584660767,0.027273917208987353,0.12917027740834708,0.1290622353553772,112,0.02020408163265306,0,25000
50,12,0.9976439317636824,0.00013588296692651491,0.9999976970680622,1.5940667923601894e-29,0.00047875863130497225,1.0023772716522217,0.997628390789032,0.997628390789032,1.0000155779193876,39.72728519905386,4.765188947655815,0.07190048507954555,0.01699701737435209,0.02556179237186132,0.12784757594659327,0.12768225371837616,112,0.02020408163265306,0,25000
59,10,0.9994406975319036,-7.536352004047786e-05,0.9999399596436929,3.553379140602295e-18,0.0027380836062678208,1.002257227897644,0.9977478384971619,0.9977478384971619,1.0016966802326444,38.24447254111059,2.892328231637469,0.06962107557926697,0.01041368983306677,0.026313067013389202,0.1318686714640665,0.13171955943107605,112,0.02020408163265306,0,25000
64,10,0.9999615129306768,-9.79785370067987e-05,0.9999790963190188,5.220989038827573e-20,0.0016164199991292654,1.002199649810791,0.9978051781654358,0.9978051781654358,1.0021610779463037,39.8842821880236,3.7055744016827648,0.06647093277985924,0.013278780845246555,0.02529544439896387,0.12142149789054964,0.12131883949041367,112,0.02020408163265306,0,25000
68,12,0.9991718914023191,-5.4532510902205455e-06,0.9999917011998951,9.686761447891001e-27,0.0009102268913358162,1.0021421909332275,0.9978623986244202,0.9978623986244202,1.0013122979477973,39.76419677770318,4.477773690984602,0.06763037543330713,0.013250347911337208,0.02548630280909717,0.13056501234623738,0.13045142590999603,112,0.02020408163265306,0,25000
76,10,0.9986850405946468,9.836499407742116e-05,0.9999669015875844,3.281651638525871e-19,0.0020313947231870694,1.0020331144332886,0.9979709982872009,0.9979709982872009,1.000715494046091,41.17960742480616,6.9924032359899675,0.06350897229932642,0.020740706768196147,0.025057533173236356,0.13171292917895655,0.13163809478282928,112,0.02020408163265306,0,25000
79,11,1.0012869246027574,-0.00027118598493783286,0.999989277871964,1.1195561863478823e-23,0.0010928992123802202,1.0019679069519043,0.9980359673500061,0.9980359673500061,1.0032573548039387,38.98075416527654,4.636692305207848,0.06899154898455546,0.015131911368511417,0.02601866033012903,0.134871286403328,0.13477367162704468,112,0.02020408163265306,0,25000
85,12,0.9986068464162596,2.986465633456059e-05,0.9999891991296115,3.6173981430272293e-26,0.0010378300990207753,1.001903772354126,0.9980998635292053,0.9980998635292053,1.000507948057684,40.39726073321445,5.306539824033673,0.06690147358599619,0.014968134121524295,0.025171351880340004,0.13057234875587823,0.13042031228542328,112,0.02020408163265306,0,25000
91,12,0.9988197797257177,4.174027838935168e-05,0.9999527989377093,5.765911733245491e-23,0.0021700676377947167,1.0017966032028198,0.998206615447998,0.998206615447998,1.0006142658926824,41.54565009383997,6.108131045616821,0.06326613134805903,0.015076890435878322,0.02464805584679244,0.1292611088286152,0.12915030121803284,112,0.02020408163265306,0,25000
92,10,0.9988603973701699,5.11148437808695e-05,0.9999628122425934,5.229552071880512e-19,0.0021536140264754116,1.0017849206924438,0.9982182383537292,0.9982182383537292,1.0006433052330317,41.896642891740996,7.8790918091875835,0.06300085144605697,0.018594635833221452,0.02480169155362849,0.12109671022051616,0.12100982666015625,112,0.02020408163265306,0,25000
94,11,1.0006845461846585,-0.00018889267157096157,0.9999684801041072,1.4335624726933037e-21,0.0018727300098437924,1.001755952835083,0.9982471466064453,0.9982471466064453,1.0024416794843833,38.661563006232726,4.452799549073592,0.07641592034945485,0.019561484218950608,0.026209197465088797,0.12301863195996766,0.12291395664215088,112,0.02020408163265306,0,25000
97,10,0.998789050576437,5.9390798986869164e-05,0.9999844008238346,1.619076746327204e-20,0.0013947070553701985,1.0016515254974365,0.9983512163162231,0.9983512163162231,1.000438557346411,42.154834447328106,4.640553514862433,0.06344042899133244,0.012176623321119536,0.024007706897919843,0.12649167407334158,0.12639787793159485,112,0.02020408163265306,0,25000
100,10,0.9961839587199596,0.00039289267726183574,0.9999356299447064,4.694666929330659e-18,0.0028258588802883566,1.0010347366333008,0.9989663362503052,0.9989663362503052,0.997214743450926,39.48659145388755,5.136976742649685,0.07288284754920668,0.018025664484581164,0.025759131705515515,0.13207576613869274,0.13196465373039246,112,0.02020408163265306,0,25000
102,11,1.001248226756598,-0.00027101103655821634,0.999945441128452,1.6931032308374297e-20,0.0024652731313672955,1.0001394748687744,0.9998605251312256,0.9998605251312256,1.0013878952018735,39.138433911296254,5.244908074366406,0.06932356248101373,0.02301643675474856,0.026079204024706527,0.13381377687289336,0.13370978832244873,112,0.02020408163265306,0,25000
103,10,0.9999174645322645,-8.30842751366051e-05,0.9999822156683694,2.735340255789306e-20,0.0014908769362079926,0.998725950717926,1.001275658607483,1.001275658607483,0.9986435363093643,39.65016864514313,3.4086563577980455,0.06849218308852163,0.011246598825950135,0.02540509893351327,0.11915743258348117,0.11906450986862183,112,0.02020408163265306,0,25000
111,161,1.0448442362685906,-5.607055711875572e-09,0.9999956205828049,0.0,0.00017340519321224892,0.9549245834350586,1.0472030639648438,1.0472030639648438,0.9977474973312985,1.1112574939158262,0.018003120922246568,0.9482300909809411,0.007675626452185387,0.9001147902464622,0.0001079509555575366,0.000112786321551539,112,0.02020408163265306,0,25000
