file,m,s,seed,n,rank,rank_ratio,sumD,rho_m,rho_r,n_eigenspaces,degeneracy_ratio,slack_run,mean_resid,mean_sigma,mean_kappa,mean_leverage,mean_cv,wmean_q_bin,wmean_H_bin,wmean_n_eff,wmean_max_space_proj,wmean_participation_ratio,defect_error,negD_frac,D_Dhat_corr,qual_rate
n1024_m112_s0.202041_seed0.h5,112,0.2020408163265306,0,1024,112,1.0,111.9695316563375,0.999727961217299,0.999727961217299,66,0.5892857142857143,0.0002720387827009896,0.016102196328199505,0.00027203878270182225,1.0155944150136353,0.1093750000000001,0.01590440428668663,0.44791447437404,1.5310576693993596,4.7358946518577625,0.12340096004477089,20.58925494611884,9.833800440617324e-14,0.0,0.9999999999999308,0.00014354308152506244
n1024_m112_s0.202041_seed1.h5,112,0.2020408163265306,1,1024,112,1.0,111.96865526395413,0.9997201362853048,0.9997201362853048,70,0.625,0.00027986371469523874,0.01639443430076333,0.0002798637146961583,1.0167536549123988,0.1093750000000001,0.01617814662785708,0.5086647901959956,1.5562826115915038,4.898477641541388,0.11890322257098321,21.57417992958658,1.0318829124500439e-13,0.0,0.999999999999921,0.00014803370028699899
n1024_m112_s0.222245_seed0.h5,112,0.22224489795918367,0,1024,112,1.0,111.9537827868553,0.999587346311208,0.999587346311208,76,0.6785714285714286,0.00041265368879195297,0.0196862304642793,0.00041265368879289606,1.024626591270604,0.1093750000000001,0.019315517280624202,0.4106532803281281,1.787055319857542,6.172635411351117,0.11687760481423463,21.151666813271643,1.0393075289272247e-13,0.0,0.9999999999999315,0.00011490535826139256
n1024_m112_s0.222245_seed1.h5,112,0.22224489795918367,1,1024,112,1.0,111.95755442836526,0.9996210216818326,0.9996210216818326,74,0.6607142857142857,0.0003789783181673556,0.018959537736892476,0.0003789783181685723,1.02189523356533,0.10937500000000014,0.018639181753294178,0.5122829740296622,1.6346010387042031,5.357222148375423,0.11842710399953248,21.401271510917613,1.3627987627273797e-13,0.0,0.9999999999999107,0.00013826290426549319
n1024_m112_s0.242449_seed0.h5,112,0.24244897959183673,0,1024,112,1.0,111.9413922006861,0.9994767160775544,0.9994767160775544,84,0.75,0.0005232839224456054,0.02215443363962252,0.0005232839224463438,1.0312323735933135,0.10937500000000008,0.021618612162949198,0.3330218020554626,1.9971788641048909,7.596924927864145,0.1142462375346027,21.896770548416548,8.62088178621434e-14,0.0,0.9999999999999303,6.729418509649909e-05
n1024_m112_s0.242449_seed1.h5,112,0.24244897959183673,1,1024,112,1.0,111.93828064692207,0.9994489343475185,0.9994489343475185,87,0.7767857142857143,0.0005510656524815305,0.022693391654360896,0.0005510656524821352,1.0324996717643027,0.10937500000000006,0.022119864702052544,0.474119930767392,1.8614479405689337,6.845611785811508,0.11137637931527762,22.82354391300387,6.600275881396556e-14,0.0,0.9999999999999144,6.456463613322808e-05
n1024_m112_s0.262653_seed0.h5,112,0.2626530612244898,0,1024,112,1.0,111.92592672286264,0.9993386314541307,0.9993386314541307,93,0.8303571428571429,0.0006613685458692897,0.02468539703249453,0.0006613685458699352,1.0421355101219407,0.10937500000000007,0.023862814093909376,0.29611763931888385,2.200546971427562,9.253618123145305,0.10875527914141928,24.489618278989408,7.399636459126668e-14,0.0,0.9999999999999398,1.0302178737286516e-05
n1024_m112_s0.262653_seed1.h5,112,0.2626530612244898,1,1024,112,1.0,111.91741877425375,0.9992626676272656,0.9992626676272656,92,0.8214285714285714,0.0007373323727344339,0.025718422158237046,0.0007373323727346312,1.0421398095798502,0.10937500000000003,0.024867240288982264,0.3653719381171326,2.0617608280359137,8.071202678573313,0.10758861956271192,24.42833304643899,2.5979218776228663e-14,0.0,0.9999999999999462,3.8605550164252406e-05
n1024_m112_s0.282857_seed0.h5,112,0.28285714285714286,0,1024,112,1.0,111.91307571851212,0.9992238903438582,0.9992238903438582,97,0.8660714285714286,0.0007761096561418324,0.026683695359497564,0.0007761096561423979,1.0514870273633814,0.10937500000000007,0.02557197586249721,0.26299204483303673,2.3756890701324345,10.890569182259373,0.10606357409534163,25.68876052257335,6.666889262874065e-14,0.0,0.9999999999999274,0.0
n1024_m112_s0.282857_seed1.h5,112,0.28285714285714286,1,1024,112,1.0,111.91313642008754,0.9992244323222101,0.9992244323222101,99,0.8839285714285714,0.0007755676777898568,0.026628926963677878,0.0007755676777899697,1.0550432379571923,0.10937500000000001,0.025418870190140566,0.2522237579322185,2.457392587127524,11.791633302909196,0.1024843868655818,27.1136297157337,1.6514567491299204e-14,0.0,0.9999999999999515,0.0
n1024_m112_s0.303061_seed0.h5,112,0.3030612244897959,0,1024,112,1.0,111.90320444077952,0.9991357539355314,0.9991357539355314,104,0.9285714285714286,0.0008642460644685546,0.028257883353022772,0.0008642460644682064,1.0629305872043477,0.10937499999999996,0.026767569458368615,0.25843145146840085,2.4713213704732193,12.018409239383976,0.09750343640839851,29.086466576778236,4.2452152904104423e-14,0.0,0.9999999999999402,0.0
n1024_m112_s0.303061_seed1.h5,112,0.3030612244897959,1,1024,112,1.0,111.90584821029188,0.9991593590204632,0.9991593590204632,107,0.9553571428571429,0.0008406409795368441,0.0279993817167524,0.0008406409795367924,1.0635629169456011,0.109375,0.02650102735744272,0.248725109676112,2.510855982192761,12.475312434964897,0.09418156552549693,30.10601458196955,1.3877787807814457e-17,0.0,0.9999999999999484,0.0
n1024_m112_s0.323265_seed0.h5,112,0.32326530612244897,0,1024,112,1.0,111.90204380819341,0.999125391144584,0.999125391144584,110,0.9821428571428571,0.0008746088554160147,0.028658947417471003,0.0008746088554158336,1.0779316076076866,0.10937499999999999,0.026701618813073223,0.15428168958706662,2.675693111186424,14.643101489724767,0.08563528830437617,33.85358218188244,1.5126788710517758e-14,0.0,0.9999999999999489,0.0
n1024_m112_s0.323265_seed1.h5,112,0.32326530612244897,1,1024,112,1.0,111.91409184510121,0.9992329629026894,0.9992329629026894,111,0.9910714285714286,0.00076703709731063,0.0274138151113133,0.000767037097310467,1.0804707115852192,0.10937499999999999,0.025462377209490815,0.1463345565287635,2.775437909218021,16.207750830439586,0.08545450554392864,33.76522795281988,1.6736612096224235e-14,0.0,0.9999999999999465,0.0
n1024_m112_s0.343469_seed0.h5,112,0.34346938775510205,0,1024,112,1.0,111.89464870134543,0.9990593634048699,0.9990593634048699,112,1.0,0.0009406365951301066,0.029754094758105025,0.0009406365951299618,1.0942405759135438,0.109375,0.027312142837515548,0.17903435241403623,2.6198331954435656,14.130921154422913,0.1019326143925987,31.980179132841947,1.2531642390456454e-14,0.0,0.9999999999999564,0.0
